Frame: ICRS
Origin: 133P
Body: 133P
          t                   x                   y                   z                  vx                  vy                  vz
          0        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
     -86400        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -172800        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -259200        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -345600        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -432000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -518400        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -604800        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -691200        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -777600        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -864000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
    -950400        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
   -1036800        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
   -1123200        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
   -1209600        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
   -1296000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
