          t                   x                   y                   z                  vx                  vy                  vz
          0    -4999.9986651852       -9.9999991101        0.0000000000       -0.0002669627        0.9999997330        0.0000000000
     -86400     5978.2895494376   -76032.7570545864        0.0000000000       -0.1330708895        0.8560553267        0.0000000000
    -172800    17451.1724372368  -149732.0549952411        0.0000000000       -0.1325841426        0.8510658055        0.0000000000
    -259200    28896.4397321304  -223181.5671850652        0.0000000000       -0.1323766449        0.8493789302        0.0000000000
    -345600    40328.4926525515  -296527.7615665402        0.0000000000       -0.1322639838        0.8485301784        0.0000000000
    -432000    51752.8438213099  -369817.0578417068        0.0000000000       -0.1321934581        0.8480190170        0.0000000000
    -518400    63172.1544014039  -443070.2512653622        0.0000000000       -0.1321451981        0.8476773769        0.0000000000
    -604800    74587.9095847744  -516298.4755603404        0.0000000000       -0.1321101096        0.8474328954        0.0000000000
    -691200    86001.0223304361  -589508.3940328790        0.0000000000       -0.1320834520        0.8472492733        0.0000000000
    -777600    97412.0938713118  -662704.3132119197        0.0000000000       -0.1320625144        0.8471062945        0.0000000000
    -864000   108821.5411427214  -735889.1781894510        0.0000000000       -0.1320456347        0.8469918056        0.0000000000
    -950400   120229.6651347991  -809065.0922673382        0.0000000000       -0.1320317379        0.8468980607        0.0000000000
   -1036800   131636.6902435723  -882233.6100996673        0.0000000000       -0.1320200977        0.8468198887        0.0000000000
   -1123200   143042.7882318088  -955395.9133733327        0.0000000000       -0.1320102057        0.8467537060        0.0000000000
   -1209600   154448.0934989074 -1028552.9213451159        0.0000000000       -0.1320016957        0.8466969501        0.0000000000
   -1296000   165852.7131870090 -1101705.3632338112        0.0000000000       -0.1319942969        0.8466477404        0.0000000000
